BARREEFFAMA KAMUU DUBISTEE BIRA KUTUUN GAARIIDHA.	2
Jabaadha ummata kenya gootota kenyaa.	1
Barrefama adda adda maalif hin garsiftan.	2
Sagaleen sirrii hin jiruu.	2
WBO waliin dhaabanne Mootummaa kana Ofirraa kaasu qabna.	0
Jabaadha abdii hin kutinaa rabbii jiraa.	1
Abo Kun Abiyyi Ahimad Malitti nafxanyaa dha male.	0
Jabaadha ummatta keenyaaf sagalee haa tanuf.	2
Rabbii issin biraa haa jiratuu oromoo koo yommiyu.	1
Konkkoolataa keessaa bayyaa kaa.	2
Abiyyi amma gesse boqadhuu dache gad dhisi dafi kana achi tarkanfi irratti fudhana.	0
Jabadha billisa ni banaa yaa ummata biyya kotti kolonni warra addi jalaa.	1
Oromoon dhigaa kenya itoophiyaan biyya kenyaa.	1
Galatoommaa Galatoommaa Qeerroo fl Qeerroo oromoo.	1
Rabbin haa garagalchuu Abbiyi amaadi badu qaba inni.	0
Jabadha Oromoo koo wal cinna haa dhabanu.	1
Oromoon nagaa aragatu malee biyyi itoophiyaan jedhan suni nagaa hin argatu.	0
Abiyoti hangaa hidan buqa'utti oromoo naga hin argatu.	0
Rabbille nuuf haa birmmatu.	2
Yaa rabbii nura guti.	2
Warri keenna hin dhufne harra.	2
Rabbii isin haa gargaaru jabaadha mottuma kenyaa.	1
yarraabbii furmata nubussii nurakassii.	2
Konkoolata irraa bu'aa.	2
Har'a qofa miti guyya hunda nu barbachisa hiriri hangaa dinni kenya badutti.	1
Jabdhaa Abshiraa nii Monaa yoo Rabbii Jadhee.	1
Rabbin bilisummaa billisuma nuf haa kennu biyya kenyaa itoophiyattif.	1
Bashannanaa nu kolfisiisaa.	2
Jabadhaa oromoo kiyaa.	1
Oromuman koo naa bonsee jiraa.	2
Jabadhaa gototaa kenyaa issin wallin jira.	1
Rabbiin isiin Haa gargaru waan garii dalgaa jirtu biyyaf.	1
Oromoon yoomuu injifataadha.	1
Rabbii abiyyii nuraa yaa kasu.	0
Jabaadhaa! Oromoota koo.	1
Barreefama muldhatu qabadha.	2
Fayya taha hundumti keessanu.	2
Oromoon osoo ummanni walloo dhumaa jiru Akkamitti umata tigree gadi taatan.	2
Woyyaneedha Malee Oromoon Biyya jira Kuuno koota.	1
Jabaadha korommii oromiyaan biqilchite.	1
Hedduu Galatoomaa obboleeyyan keenya qaqqaalii itti muddaa qabsoon itti fufa Abiy ni kufa.	0
biyyatti galaa hiriiraa yoodhuguma biyyaaf ta'e.	2
Jajjabaadha isiniin jenna raabii isiin haa milkessu.	1
baayyee namatti tolaa missomni hojetama jiru kun.	1
Jabadha oromoo jabnee addunyaratii iyyu qabana.	2
Jabaadha dhibbaraa dhibbaraa iyyuu qabana oromoo.	2
Ammayyuu walloo jirtuuyi finfinneetti marsitanii hin turremoo gafa finfinnee geenye jettan abju guyyaan abjoottan.	2
Ummanni oromoo Amma biiyya Isa irratti lafa irratti mirgga dhabee ajjefamaa gidirfama Kan jiraatuu Amma yomitti sirnni sirnna ofifuu in tanee.	0
Sareen iddoo nyaatuuf dutii jedha oromoo.	2
finfine jiraa nun jetanii turtaan.	2
Immallii garra finfinnee booyyiichaan xumurammee jalla kaattuu Wayyaannee.	2
Abiyoot kufuun isaa ifa galaa dha garuu lubbuun saba oromoo duguugamaa jira.	0
Abaarsi rabbii irratti haa bu'uu Abiyiin.	0
Dhiigni ilmaan oromoo lafa hin baduu.	2
wara Gara Ofi Jalatu Bilixiginani Aboo Rabbii Nura Isan haa kasu.	0
jeneraal Tsaadiqaan Finfinnee galuuf jettan sun eessa gahee jarana.	2
Huffff yaa rabbi sirnna ummataa kenya fixaa jiru kana nurra kasii	
Jaabaadhaa issin jiiraachuun qabsoon oromoo jiiraachuudhaati itti jaabadhaa.	1
Waraabessa Gogaa Hoolaa Uffatee.	2
Gurbaan kuni Waan Ajaaibaa dubbachaa jira.	2
Oromoo fi oromiyan Akka Waliigalaatti ofitti Amanuu dhabuu Waan isaa maal Akkatahe Naaf galuu dede yaya maal Maali.	2
Umanni kenya yeroo jijiramni tokko dhufe jarrjaree gamade hikachutu kana fide dadafnee hikkachuu hin qabnu dadafnee akka hin dagamne.	2
Akka baayinaa fi gootumaa keenyatti guyyaa tokkotti bilisoomna garuu tokkummaa hin qabnuu maaloo tokkummaa tokkummaa yaa oromoo amantii fi gandan wal hin qoodnu tokko haa tanuu.	1
Furmaani woraani bilisummaa oromoo woraana mootummaanti makamee tplf bakkati galchee.	2
Abiyiin waan ISA barbaachisu gaafachuu qaba.	2
Mootumman abiyii fi tigiraayii wolitti yoo araraaman oromoon rakoon isa ittuma fufa yoo tokko hin tahin oromoon.	1
bayyee bayyee tokkoo galatoma ya sabotota kenya fullaa jiritan cufati manati hingalina ittii muda ya oromoo.	2
Oromon akka wan biliissomee calisee rafaa jira baran rabbuman hadamaqiisuu hiribba kan keessa malee.	2
yaada lama qabannee gara garaan akkamitti walaboomti oroomiyaan isin itoophiyanitiidha kanaan nu rakkiftan.	0
Bagaa nagahaan nuu dhuftaan.	2
Gameessa Koo heduu sii jaladha mottuma kenyaa.	1
Nama kana beekumsa fi ga'umsa isaan hanga danda'uun sabaaf dhaabbatu nuuf jiraadhuu.	1
Kan dabre irraa Maal barannee amma maal godhuu qabna.	2
akkamitti walduuka socho'uu danddeenna.	2
Dhimmi biyyummaati malee sabummaa Mitti kannafu wallin biyya kana ijaru qabna.	1
hayyoonni kenyaa kan idila adunyaarra jiran hatatamaan Mari'atanii fala ummata oromoof kaayuu qaban.	2
Abiyiin yoomiyyuu hin kufu dhugaa ummatta waan qabuuf qabuuf qofa.	1
Uummata Nagahaa Dararuu fi Ajjeesuun Nurraa Haadhaabbatu.	1
Dhugaan jirtu tanuma Dubbii mataa na nyaatte dubbatte!!.	2
Sagaleen hin jiruu maal ta'e.	2
Gantoota warana Oromoo bosona gara motummatti galchuuf yaala turani.	2
Wanni diinni yadu yomiyyu gaari mitti.	2
Yaa Rabbii Abiyi Ahimed nurraa kaasii male biyyaa kenyaa nagaa hin argattu gonkuma.	0
Tigreen amas debitee biyyaa qabanan rakkoo isaa gudadha.	2
Duraa ofii oromoo ta'ii wa'ee oromoo dubachu durattii.	0
Kuniin hundii qabsoo Oromoo keessaatti yaaddoo guddoodhaa.	2
Yaa rabbii yaa alaha atii nuf birmaadhu.	2
Oromoon of jabeeysuu qaba kanafuu dammaqu qabnaa.	1
Dubbii ijoo dha Galata lammii qabdu.	1
Dhugaa kessani gototaa oromoo koo jababdhaa.	1
Hegeree Oromiyaaa fi Oromoo irrati dubbadha.	2
Xiinxala bilchatadha yayya galatoomi.	2
Yaa rabbii nagaan nuu basii hundaa kenyaaf.	1
Yaani nu fixee kanumaa nu yaachsu jiraa.	2
Namichaa Abiyii jedhamu kunii badu qaba.	0
Dhugaa jiruu hubadhaa.	2
Gota Kenyaa Nuuf jiradhu.	1
Halan garidha jabadha.	1
Yaa rabbii furmataa nuu fidii atii yaa rabbii yaa allaah.	1
Jabaadhaaa diina nimoonaa.	1
itoophiyaan biyyaa birmaadumma qabdu biyyaa Motummaa mataa ishee qabdu fi mirgaa ofin of bulchuu qabdudha malee akka keessaan nama koppaasin jala badee nama gara itti deemu dhabee miti tuni biyyaa.	1
Yoomittuu Finfinnee irraa gara bahaatti baqattan.	2
Oromoon marti haala hammaa irratti duraan ituu itti turree qaata milkoofne.	2
Biyya kana waanti walii galamu hin jiru, Hidhannoo qofaatu furmaata!.	0
Nuutii oromoon osoo hin moo'atiin Angoo qoddachuuf jecha osoo wol loolluu kan biraa dhufee fudhata wan hunddayyuu.	1
baheessa garuu namoota bebbeekamoo hayyuu siyaasaa yeroo yerotti Affeeruu qabdu.	2
Ummani Oromoo waligalaan WBO waliin fuulduratti malee wani filannoo biraa hin jirru.	0
Ijollen badhadhina lafa dhitaa jiran me nuf hima wobon essa gahe.	2
Obbaleyaan islamaaa amantaa kessaanif dhimaamaa cinqMaa akka amantaatti haa demnu.	2
Wanta keessa nama jiru dhiisani waligalite uumun barbaachisadha.	1
jajjabaadhaa wal tahaa tokkummaa jabeessaa.	1
Yaa oromoo koo jiirtuuuu.	2
Jabaadha tokkummaa jabeessa.	1
Wanii durani dubachuu qabdanii amma dubatini issin.	2
Oromoon tuffatamera dhuga Rabbin ka'aa oromoon gara tokkuman loluu qaba mottuma kana wallin.	0
Kana maaliif haasawuun barbaachise mariin tamaaliiti hinqaanfattanii eenyu isindhagaha.	0
Mariifii manguddummaan oromoodhaaf humaa hin buufne seenaarraa yoobarattan tahe.	2
Sabaaf dubbachuun osuma jiruu shamarran islaamaa akkamitti rifeensa qullaa media irratti baati.	2
Namoonni mallattoo garaagaraa fayyadamtan dhiisaa yaada kennaa.	2
Hayyoni xiyyefano tokkon yoo demamee furumata biyya kanaf fidu ni danda'ama.	1
oromoon humaan qabuu addunyaat hin agarsiifnee qawween kana rakkon kenyaa hidhachu qbana.	0
Daakuun baduu barbaadde bubbeetti michiti.	2
yoo rakko ofii Umtani himattan male rakkoon ammaaf hin jiiru.	2
motumma addunyaa oromoo fii oroomiyaa dhimma hinqabu itoophiya malee.	2
issin ummata oromoo qofa bilisomsuu barbaddan kaan dhimma hinqabdanif.	2
sababni addunyaan oromoo dhageeffachuu dhabeef oromoon mataansaa wal dhageeffatee kaayyoo tokkorratti walii galuu dadhabeefi.	2
Yoomiyu itoophiyuma dura oromumaa koo dursa.	0
sababiin addunyaan oromoo dhagauu dadhabdeef oromoon beeka hin qabu.	0
yaa rabbi furmaata nuu fidi waanin keenna nudhibee kanuu tiluufi kanuu lolu addaan wallaalle.	2
Yaaa rabii Tokummaa oromoo jabessii.	1
Addunyaan Maaliif Oromoo dhagahuu diddee.	2
Nafxanyaan qabsoo oromoo butee masaraa galte.	0
waalif obsuun maalif dadhabame maalif walirati qabsofnaa.	2
Jabadha rabbin isin haa milkesu yaa Lammii koo.	1
Hatii ilmaan Oromoo ilmaan ishee kan dhuumanif qofaa osso hin taanee kan lubbu jiiraanifis boo'aa jiirti.	2
Dhignii oromoo jabba xiqaa ganaa galanna ta'ee isaan nyataa lafeen ilmaan oromoo cubbun ajefamani ganaa eeboo ta'e isan waranna garuu guyya qaba warra oromoo mitte.	0
Ummanni Oromoo salphinna kana keessaa bahuuf itoophiyaa Immiyyee kana mancasee biyya ofii Oromiyaa dhuunfachuu qaba.	0
Daa'imni takka dhibamtee yoo duute hammam nama gubdi.	2
abiyyiin ijoollee miskiina haadha biraa guuree rasaasaaf gumaachaa jira kanaf inni badu qaba.	0
Jaalanee jibinee nageenyi biyya sanii gurmuu oromoo irratti kufeera waan baayina dachii fi ummata qabnuuf nagaya biyya sanii tu'anne biyya tasgabeesu dhabuun keenya gowwa nufakeese itti yaada.	1
Yaa rabbi abiyoot kaasayee nurraa kaasi inni nafxanyadha.	0
Mootummaan Itoophiyaa nama ajjeesaa, nama hidhaa Oromoo lafa isaa irraa buqqisaa qabeenya Oromoo saamaa hayyuu Oromoo ajjeesaa hidhaa jennee gaafa isinitti iyyaa turee ammas akkasuma mottuman kun.	0
dhugaa ilmani Oromo rabii has basuu.	2
Ummata dhamaa kana maal goona jedhe malee ani.	2
Deemaa aas jalaa.	2
Hin jarjarinaa sutaa jedhaa waan hunda akka ijolle tatanii post hin godhinaa.	2
wayyo caba keessan yaa ummata Bulle woyyaaneettin yowana gahe.	2
Duraa osoo kufaatii faarsitan kuftanii oromoo kufisuuf wayyanetti galtan issin kan ummataa oromoo fixa jiru.	0
nama ajaaibdu hawwiin hin dhorkaamu tigree fudhaa amerikaatti achii sinii woliin haa sobduu.	2
Miidiyaa maqaa oromootiin daldalu fakkaata Ykn gurgarameera.	2
issin umata mataa daaraa kana maal yoo snihiman siniif gala siidaa mililik jaari jenaan.	0
harkumaatti soddo ijaaref jawaar hidhii jenaan soddoo hidheef kunii oromo yootahe.	0
Waan qabddee waan dhiifttu walii wollaalte.	2
Yaa umataa soban gutamtee Rabin isin haqajelchuu.	1
Kuffatii bilxigina miti kufaatii bilxiginnaa akkanatti barreffama afaan baraa dura moo akkuma jedhan sana tigiriffa dandeessuu.	2
isin ergamtu nafxenyati sidaa mililik jala.	0
yaate wacxii.	2
Mali godhaa motumman yoo gurraa kenu diddee.	2
Oduu Amaa nu dhaqabee rigaa kasala biyaa bahuf bolee ergaa senee qabamee debifama bayee nama gadisisaa.	0
Itoophiyaan yoo feete, haa diigamtu.	0
Oromoon yeroo Hunda itoophiyaan akkan Diigamne goona jechaa ooluun bu'aan qabdu kanaaf itoophiyaan ni diigamtii.	0
ABADAN ISHIIF HIN MILKAA'UU OTOO WAYYAANEEF MILKAA'EE JALQABA SHANEE BOOLLA TOKKOTTI ISIN AWWAALTI SALPHATTOOTA.	0
OROMOON SABA BAL'AA GAANFAA AFRIKAATI SABA BICUU JUNTAAF GUGGUUFTUU WARRA SALPHOO.	0
Osoo ilimii oromoo tokkoo hangaan jaraa durattiif sagalee dhagesisee yonaa manaa hidhaattii darbitee garuu kunii esaa jiraa ammaa.	2
